gene,term
UGP2,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
UGDH,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
UGT1A2,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
UGT2B5,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
UGT2B36,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
UGT2B35,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
UGT1A10,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
UGT1A7C,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
UGT1A5,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
UGT1A9,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
UGT1A6B,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
UGT1A1,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
UGT2A2,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
RPE,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
AKR1B10,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
DCXR,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
CRYL1,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
DHDH,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
UGT2B1,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
UGT2A3,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
ALDH1B1,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
UGT2A1,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
UGT1A6A,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
MPI,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
ALDOA,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
ALDOC,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
AKR1B3,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
AKR1B7,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
FBP2,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
FBP1,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
AKR1B8,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
HK1,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
HK2,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
KHK,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
PFKFB3,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
PFKFB1,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
PFKFB2,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
PFKL,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
PFKM,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
SORD,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
HK3,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
HKDC1,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
GMDS,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
MTMR6,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
TPI1,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
TSTA3,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
ALDOB,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
FUK,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
PFKFB4,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
PMM1,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
9630033F20RIK,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
GMPPB,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
ALDOART1,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
MTMR1,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
PMM2,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
MTMR7,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
PFKP,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
AKR1B10,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
GMPPA,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
PHPT1,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
FPGT,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
MTMR2,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
AKR1C6,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM
GCK,KEGG_MM_GALACTOSE_METABOLISM
GLA,KEGG_MM_GALACTOSE_METABOLISM
AKR1B3,KEGG_MM_GALACTOSE_METABOLISM
AKR1B7,KEGG_MM_GALACTOSE_METABOLISM
GLB1,KEGG_MM_GALACTOSE_METABOLISM
AKR1B8,KEGG_MM_GALACTOSE_METABOLISM
G6PC,KEGG_MM_GALACTOSE_METABOLISM
G6PC2,KEGG_MM_GALACTOSE_METABOLISM
GAA,KEGG_MM_GALACTOSE_METABOLISM
GALT,KEGG_MM_GALACTOSE_METABOLISM
B4GALT1,KEGG_MM_GALACTOSE_METABOLISM
GALK1,KEGG_MM_GALACTOSE_METABOLISM
HK1,KEGG_MM_GALACTOSE_METABOLISM
HK2,KEGG_MM_GALACTOSE_METABOLISM
LALBA,KEGG_MM_GALACTOSE_METABOLISM
PFKL,KEGG_MM_GALACTOSE_METABOLISM
PFKM,KEGG_MM_GALACTOSE_METABOLISM
HK3,KEGG_MM_GALACTOSE_METABOLISM
HKDC1,KEGG_MM_GALACTOSE_METABOLISM
UGP2,KEGG_MM_GALACTOSE_METABOLISM
LCT,KEGG_MM_GALACTOSE_METABOLISM
MGAM,KEGG_MM_GALACTOSE_METABOLISM
B4GALT2,KEGG_MM_GALACTOSE_METABOLISM
PFKP,KEGG_MM_GALACTOSE_METABOLISM
PGM1,KEGG_MM_GALACTOSE_METABOLISM
AKR1B10,KEGG_MM_GALACTOSE_METABOLISM
GALK2,KEGG_MM_GALACTOSE_METABOLISM
SIS,KEGG_MM_GALACTOSE_METABOLISM
PGM2,KEGG_MM_GALACTOSE_METABOLISM
GALE,KEGG_MM_GALACTOSE_METABOLISM
GANC,KEGG_MM_GALACTOSE_METABOLISM
UGT2B38,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM
UGT2B34,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM
ALDH7A1,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM
UGT2B37,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM
ALDH2,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM
ALDH3A2,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM
RGN,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM
UGDH,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM
UGT1A2,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM
UGT2B5,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM
UGT2B36,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM
UGT2B35,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM
GULO,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM
UGT1A10,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM
UGT1A7C,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM
UGT1A5,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM
UGT1A9,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM
UGT1A6B,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM
UGT1A1,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM
UGT2A2,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM
MIOX,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM
ALDH9A1,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM
UGT2B1,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM
UGT2A3,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM
ALDH1B1,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM
UGT2A1,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM
UGT1A6A,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM
ACACB,KEGG_MM_FATTY_ACID_BIOSYNTHESIS
ACACA,KEGG_MM_FATTY_ACID_BIOSYNTHESIS
FASN,KEGG_MM_FATTY_ACID_BIOSYNTHESIS
MCAT,KEGG_MM_FATTY_ACID_BIOSYNTHESIS
OXSM,KEGG_MM_FATTY_ACID_BIOSYNTHESIS
OLAH,KEGG_MM_FATTY_ACID_BIOSYNTHESIS
TECR,KEGG_MM_FATTY_ACID_ELONGATION
ELOVL3,KEGG_MM_FATTY_ACID_ELONGATION
HADH,KEGG_MM_FATTY_ACID_ELONGATION
ELOVL6,KEGG_MM_FATTY_ACID_ELONGATION
ACOT2,KEGG_MM_FATTY_ACID_ELONGATION
ACOT3,KEGG_MM_FATTY_ACID_ELONGATION
ACOT4,KEGG_MM_FATTY_ACID_ELONGATION
PPT1,KEGG_MM_FATTY_ACID_ELONGATION
ACOT5,KEGG_MM_FATTY_ACID_ELONGATION
HADHB,KEGG_MM_FATTY_ACID_ELONGATION
ACOT1,KEGG_MM_FATTY_ACID_ELONGATION
MECR,KEGG_MM_FATTY_ACID_ELONGATION
ACAA2,KEGG_MM_FATTY_ACID_ELONGATION
ELOVL1,KEGG_MM_FATTY_ACID_ELONGATION
ELOVL2,KEGG_MM_FATTY_ACID_ELONGATION
PPT2,KEGG_MM_FATTY_ACID_ELONGATION
HSD17B12,KEGG_MM_FATTY_ACID_ELONGATION
ELOVL5,KEGG_MM_FATTY_ACID_ELONGATION
ACOT7,KEGG_MM_FATTY_ACID_ELONGATION
PTPLB,KEGG_MM_FATTY_ACID_ELONGATION
ELOVL7,KEGG_MM_FATTY_ACID_ELONGATION
ELOVL4,KEGG_MM_FATTY_ACID_ELONGATION
ECHS1,KEGG_MM_FATTY_ACID_ELONGATION
HADHA,KEGG_MM_FATTY_ACID_ELONGATION
CYP4A32,KEGG_MM_FATTY_ACID_METABOLISM
ACAT1,KEGG_MM_FATTY_ACID_METABOLISM
ACAT2,KEGG_MM_FATTY_ACID_METABOLISM
ALDH7A1,KEGG_MM_FATTY_ACID_METABOLISM
ACADL,KEGG_MM_FATTY_ACID_METABOLISM
ACADM,KEGG_MM_FATTY_ACID_METABOLISM
ACADVL,KEGG_MM_FATTY_ACID_METABOLISM
ACAA1A,KEGG_MM_FATTY_ACID_METABOLISM
ACADS,KEGG_MM_FATTY_ACID_METABOLISM
ACOX1,KEGG_MM_FATTY_ACID_METABOLISM
ADH1,KEGG_MM_FATTY_ACID_METABOLISM
ADH7,KEGG_MM_FATTY_ACID_METABOLISM
ADH5,KEGG_MM_FATTY_ACID_METABOLISM
ALDH2,KEGG_MM_FATTY_ACID_METABOLISM
ALDH3A2,KEGG_MM_FATTY_ACID_METABOLISM
CPT1A,KEGG_MM_FATTY_ACID_METABOLISM
CPT1B,KEGG_MM_FATTY_ACID_METABOLISM
CPT2,KEGG_MM_FATTY_ACID_METABOLISM
CYP4A10,KEGG_MM_FATTY_ACID_METABOLISM
CYP4A12B,KEGG_MM_FATTY_ACID_METABOLISM
CYP4A14,KEGG_MM_FATTY_ACID_METABOLISM
ECI1,KEGG_MM_FATTY_ACID_METABOLISM
ACSL1,KEGG_MM_FATTY_ACID_METABOLISM
HADH,KEGG_MM_FATTY_ACID_METABOLISM
ACSL6,KEGG_MM_FATTY_ACID_METABOLISM
CYP4A29-PS,KEGG_MM_FATTY_ACID_METABOLISM
HADHB,KEGG_MM_FATTY_ACID_METABOLISM
ACAA1B,KEGG_MM_FATTY_ACID_METABOLISM
ECI2,KEGG_MM_FATTY_ACID_METABOLISM
ADH4,KEGG_MM_FATTY_ACID_METABOLISM
GCDH,KEGG_MM_FATTY_ACID_METABOLISM
